Campanha,Dia,Cidade (local geográfico),Tipo de campanha,Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Novembro,2021-11-27,Jequié,App,BRL,4,105,"0,04","0,32","1,26",1,"1,26","0,25"
[download]Manutencao_Novembro,2021-11-13,Santa Cruz do Capibaribe,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]CARPINA/PE-Novembro,2021-11-17,Carpina,App,BRL,25,414,"0,06","0,54","13,4",14,"0,96","0,56"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-06,Vitória de Santo Antão,App,BRL,32,468,"0,07","0,64","20,51",13,"1,58","0,41"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-13,Vitória de Santo Antão,App,BRL,38,618,"0,06","0,57","21,79",10,"2,18","0,26"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-26,Vitória de Santo Antão,App,BRL,24,784,"0,03","0,96","22,98",11,"2,09","0,46"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-24,Vitória de Santo Antão,App,BRL,26,738,"0,04","0,91","23,58",10,"2,36","0,38"
[download]Manutencao_Novembro,2021-11-12,Brumado,App,BRL,0,9,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Alagoinhas,App,BRL,4,19,"0,21","1,55","6,19",3,"2,06","0,75"
[download]Manutencao_Novembro,2021-11-16,Picos,App,BRL,1,44,"0,02","1,36","1,36",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Bezerros,App,BRL,1,12,"0,08","0,9","0,9",1,"0,9","1,00"
[download]Manutencao_Novembro,2021-11-16,Bezerros,App,BRL,1,14,"0,07","0,5","0,5",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Guaratinguetá,App,BRL,3,154,"0,02","0,26","0,77",1,"0,77","0,33"
[download]Manutencao_Novembro,2021-11-20,Pesqueira,App,BRL,0,13,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Lorena,App,BRL,4,80,"0,05","0,14","0,55",1,"0,55","0,25"
[download]Manutencao_Novembro,2021-11-30,Guaratinguetá,App,BRL,2,140,"0,01","0,27","0,54",1,"0,54","0,50"
[download]Manutencao_Novembro,2021-11-13,Cabo de Santo Agostinho,App,BRL,0,18,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Tucuruí,App,BRL,0,21,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Patos,App,BRL,10,188,"0,05","0,33","3,32",7,"0,47","0,70"
[download]Manutencao_Novembro,2021-11-12,Senador Canedo,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
