Campanha,Dia,Cidade (local geográfico),Tipo de campanha,Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Novembro,2021-11-20,Espírito Santo do Pinhal,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Madre de Deus,App,BRL,3,145,"0,02","0,14","0,43",1,"0,43","0,33"
[download]Manutencao_Novembro,2021-11-22,Caruaru,App,BRL,8,567,"0,01","0,22","1,76",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Goiana,App,BRL,1,56,"0,02","0,41","0,41",1,"0,41","1,00"
[download]Manutencao_Novembro,2021-11-12,Jequié,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Serra Talhada,App,BRL,11,80,"0,14","0,44","4,86",9,"0,54","0,82"
[download]Manutencao_Novembro,2021-11-25,Serra Talhada,App,BRL,21,119,"0,18","0,44","9,2",15,"0,61","0,71"
[download]Manutencao_Novembro,2021-11-26,Rolândia,App,BRL,0,18,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Vitória de Santo Antão,App,BRL,3,94,"0,03","0,38","1,13",1,"1,13","0,33"
[download]Manutencao_Novembro,2021-11-18,Rolândia,App,BRL,1,20,"0,05","0,02","0,02",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Itabaiana,App,BRL,4,28,"0,14","0,87","3,49",3,"1,16","0,75"
[download]Manutencao_Novembro,2021-11-20,Araripina,App,BRL,6,20,"0,30","0,51","3,03",4,"0,76","0,67"
[download]Manutencao_Novembro,2021-11-17,São Miguel dos Campos,App,BRL,1,11,"0,09","0,29","0,29",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Araripina,App,BRL,5,16,"0,31","0,52","2,59",3,"0,86","0,60"
[download]Manutencao_Novembro,2021-11-19,Araripina,App,BRL,5,35,"0,14","0,6","2,99",4,"0,75","0,80"
[download]Manutencao_Novembro,2021-11-27,São Miguel dos Campos,App,BRL,0,32,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Abreu e Lima,App,BRL,2,25,"0,08","0,26","0,52",1,"0,52","0,50"
[download]Manutencao_Novembro,2021-11-29,Abreu e Lima,App,BRL,3,59,"0,05","0,2","0,61",1,"0,61","0,33"
[download]Manutencao_Novembro,2021-11-30,Santana do Ipanema,App,BRL,1,15,"0,07","0,57","0,57",1,"0,57","1,00"
[download]Manutencao_Novembro,2021-11-27,Simões Filho,App,BRL,1,144,"0,01","0,28","0,28",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Itapetinga,App,BRL,1,25,"0,04","0,02","0,02",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Itapetinga,App,BRL,0,9,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Guarabira,App,BRL,0,43,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Tianguá,App,BRL,0,2,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Rio Largo,App,BRL,0,82,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Currais Novos,App,BRL,0,23,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Currais Novos,App,BRL,0,33,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Santa Inês,App,BRL,3,28,"0,11","0,53","1,58",1,"1,58","0,33"
[download]Manutencao_Novembro,2021-11-30,Santa Inês,App,BRL,1,25,"0,04","0,4","0,4",1,"0,4","1,00"
[download]Manutencao_Novembro,2021-11-16,Santa Rita,App,BRL,0,106,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Goiana,App,BRL,1,8,"0,13","0,36","0,36",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Dias d'Ávila,App,BRL,0,7,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Serra Talhada,App,BRL,19,35,"0,54","0,49","9,26",16,"0,58","0,84"
[download]Manutencao_Novembro,2021-11-13,Serra Talhada,App,BRL,1,71,"0,01","1,33","1,33",1,"1,33","1,00"
[download]Manutencao_Novembro,2021-11-15,Santa Cruz do Capibaribe,App,BRL,2,16,"0,13","1,11","2,22",1,"2,22","0,50"
[download]Manutencao_Novembro,2021-11-21,Itabaiana,App,BRL,18,39,"0,46","0,31","5,62",11,"0,51","0,61"
[download]Manutencao_Novembro,2021-11-14,Louveira,App,BRL,1,7,"0,14","0,43","0,43",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Goiânia,App,BRL,0,2,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Senhor do Bonfim,App,BRL,1,24,"0,04","0,16","0,16",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Bom Jesus da Lapa,App,BRL,0,25,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Abreu e Lima,App,BRL,0,23,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Jacobina,App,BRL,3,35,"0,09","0,56","1,67",3,"0,56","1,00"
[download]Manutencao_Novembro,2021-11-24,Araripina,App,BRL,8,44,"0,18","0,54","4,33",7,"0,62","0,88"
[download]Manutencao_Novembro,2021-11-16,São Miguel dos Campos,App,BRL,0,7,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Tobias Barreto,App,BRL,8,48,"0,17","0,47","3,76",7,"0,54","0,88"
[download]Manutencao_Novembro,2021-11-21,Mococa,App,BRL,0,22,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Itapetinga,App,BRL,3,31,"0,10","0,2","0,61",2,"0,31","0,67"
[download]Manutencao_Novembro,2021-11-13,Santana do Ipanema,App,BRL,0,5,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Assú,App,BRL,1,42,"0,02","0,06","0,06",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Surubim,App,BRL,0,7,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Arcoverde,App,BRL,5,36,"0,14","0,5","2,48",5,"0,5","1,00"
[download]Manutencao_Novembro,2021-11-21,Palmeira dos Índios,App,BRL,3,24,"0,13","0,25","0,76",3,"0,25","1,00"
[download]Manutencao_Novembro,2021-11-26,Taquaritinga,App,BRL,1,24,"0,04","0,84","0,84",1,"0,84","1,00"
[download]Manutencao_Novembro,2021-11-29,Carpina,App,BRL,5,112,"0,04","0,31","1,54",5,"0,31","1,00"
[download]Manutencao_Novembro,2021-11-15,Simões Filho,App,BRL,3,90,"0,03","2,24","6,73",1,"6,73","0,33"
[download]Toritama/PE-Novembro,2021-11-25,Toritama,App,BRL,14,538,"0,03","0,72","10,07",2,"5,03","0,14"
[download]Manutencao_Novembro,2021-11-23,Pilar,App,BRL,1,23,"0,04","0,19","0,19",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Pilar,App,BRL,2,21,"0,10","0,36","0,73",1,"0,73","0,50"
[download]Manutencao_Novembro,2021-11-12,Itabaianinha,App,BRL,0,6,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Cambé,App,BRL,0,118,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Itabaianinha,App,BRL,4,37,"0,11","0,54","2,16",4,"0,54","1,00"
[download]Manutencao_Novembro,2021-11-19,São Cristóvão,App,BRL,0,67,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Igarassu,App,BRL,1,62,"0,02","0,11","0,11",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Monteiro,App,BRL,0,6,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Goiânia,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Itapevi,App,BRL,0,77,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Timbaúba,App,BRL,0,5,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Pirassununga,App,BRL,0,43,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Pesqueira,App,BRL,1,5,"0,20","0,33","0,33",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Cabo de Santo Agostinho,App,BRL,2,164,"0,01","0,21","0,42",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Lorena,App,BRL,3,97,"0,03","0,24","0,71",1,"0,71","0,33"
[download]Manutencao_Novembro,2021-11-30,Pesqueira,App,BRL,2,24,"0,08","0,17","0,35",1,"0,35","0,50"
[download]Manutencao_Novembro,2021-11-22,Tucuruí,App,BRL,0,44,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Eunápolis,App,BRL,5,49,"0,10","0,2","1,02",4,"0,25","0,80"
[download]Abreu e Lima/PE-Novembro,2021-11-28,Abreu e Lima,App,BRL,13,709,"0,02","1,37","17,83",3,"5,94","0,23"
[download]Manutencao_Novembro,2021-11-18,Estância,App,BRL,8,53,"0,15","0,47","3,8",7,"0,54","0,88"
[download]Manutencao_Novembro,2021-11-15,Recife,App,BRL,1,262,"0,00","2,39","2,39",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Vinhedo,App,BRL,0,29,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Aparecida,App,BRL,0,24,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Itabaianinha,App,BRL,2,9,"0,22","0,08","0,15",1,"0,15","0,50"
[download]Manutencao_Novembro,2021-11-13,Picos,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Cambé,App,BRL,0,51,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Santa Rita,App,BRL,2,287,"0,01","0,52","1,05",1,"1,05","0,50"
[download]Manutencao_Novembro,2021-11-23,Santo Antônio de Jesus,App,BRL,8,159,"0,05","0,28","2,21",6,"0,37","0,75"
[download]Manutencao_Novembro,2021-11-18,Bezerros,App,BRL,0,36,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,São Cristóvão,App,BRL,2,42,"0,05","0,39","0,78",1,"0,78","0,50"
[download]Manutencao_Novembro,2021-11-19,Rio Largo,App,BRL,0,95,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Caicó,App,BRL,1,29,"0,03","0,59","0,59",1,"0,59","1,00"
[download]Manutencao_Novembro,2021-11-19,Seabra,App,BRL,5,15,"0,33","0,42","2,09",4,"0,52","0,80"
[download]Manutencao_Novembro,2021-11-22,Gravatá,App,BRL,3,111,"0,03","0,18","0,54",3,"0,18","1,00"
[download]Manutencao_Novembro,2021-11-27,Eunápolis,App,BRL,1,74,"0,01","0,29","0,29",1,"0,29","1,00"
[download]Manutencao_Novembro,2021-11-27,Teixeira de Freitas,App,BRL,1,131,"0,01","0,59","0,59",1,"0,59","1,00"
[download]Manutencao_Novembro,2021-11-12,Paulista,App,BRL,4,74,"0,05","1,48","5,93",2,"2,96","0,50"
[download]Manutencao_Novembro,2021-11-17,Pirassununga,App,BRL,0,26,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Recife,App,BRL,2,322,"0,01","0,32","0,65",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Paulista,App,BRL,2,255,"0,01","0,41","0,82",1,"0,82","0,50"
[download]Manutencao_Novembro,2021-11-16,Moreno,App,BRL,0,8,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Moreno,App,BRL,0,21,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Jandira,App,BRL,1,131,"0,01","0,12","0,12",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Serrinha,App,BRL,7,88,"0,08","0,71","4,99",6,"0,83","0,86"
[download]Manutencao_Novembro,2021-11-29,Leme,App,BRL,1,66,"0,02","0,58","0,58",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Goiana,App,BRL,4,48,"0,08","0,35","1,4",1,"1,4","0,25"
[download]Manutencao_Novembro,2021-11-22,Pombal,App,BRL,1,8,"0,13","0,9","0,9",1,"0,9","1,00"
[download]Manutencao_Novembro,2021-11-15,Senhor do Bonfim,App,BRL,0,11,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Atalaia,App,BRL,0,4,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Louveira,App,BRL,2,35,"0,06","1,78","3,55",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Vitória de Santo Antão,App,BRL,1,57,"0,02","0,24","0,24",1,"0,24","1,00"
[download]Manutencao_Novembro,2021-11-28,Vitória de Santo Antão,App,BRL,3,49,"0,06","0,25","0,75",3,"0,25","1,00"
[download]Manutencao_Novembro,2021-11-14,Pirassununga,App,BRL,0,11,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Itapetinga,App,BRL,4,33,"0,12","0,26","1,05",2,"0,52","0,50"
[download]Manutencao_Novembro,2021-11-23,Surubim,App,BRL,0,14,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Guarabira,App,BRL,5,54,"0,09","0,14","0,69",1,"0,69","0,20"
[download]Manutencao_Novembro,2021-11-24,Guarabira,App,BRL,0,57,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Arcoverde,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Taquaritinga,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Simão Dias,App,BRL,2,19,"0,11","0,46","0,91",2,"0,46","1,00"
[download]Manutencao_Novembro,2021-11-20,Salgueiro,App,BRL,3,25,"0,12","0,31","0,94",2,"0,47","0,67"
[download]Manutencao_Novembro,2021-11-26,Mococa,App,BRL,4,30,"0,13","0,32","1,3",4,"0,32","1,00"
[download]Manutencao_Novembro,2021-11-28,Mococa,App,BRL,0,27,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Santa Inês,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Currais Novos,App,BRL,1,17,"0,06","7,18","7,18",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Santa Rita,App,BRL,3,159,"0,02","0,58","1,74",1,"1,74","0,33"
[download]Manutencao_Novembro,2021-11-29,Santa Cruz do Capibaribe,App,BRL,4,77,"0,05","0,44","1,76",2,"0,88","0,50"
[download]Manutencao_Novembro,2021-11-16,Louveira,App,BRL,0,7,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Senhor do Bonfim,App,BRL,0,13,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Jacobina,App,BRL,0,11,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Jacobina,App,BRL,1,46,"0,02","0,54","0,54",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,São Miguel dos Campos,App,BRL,0,13,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Icó,App,BRL,1,17,"0,06","0,62","0,62",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Mococa,App,BRL,1,34,"0,03","0,26","0,26",1,"0,26","1,00"
[download]Manutencao_Novembro,2021-11-30,Cruz das Almas,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Assú,App,BRL,1,54,"0,02","0,02","0,02",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Simão Dias,App,BRL,7,18,"0,39","0,39","2,73",6,"0,45","0,86"
[download]Manutencao_Novembro,2021-11-13,Simão Dias,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Santa Inês,App,BRL,1,37,"0,03","0,41","0,41",1,"0,41","1,00"
[download]Manutencao_Novembro,2021-11-23,Escada,App,BRL,1,45,"0,02","0,02","0,02",1,"0,02","1,00"
[download]Manutencao_Novembro,2021-11-19,Simões Filho,App,BRL,6,162,"0,04","0,31","1,88",3,"0,63","0,50"
[download]Manutencao_Novembro,2021-11-26,Propriá,App,BRL,3,6,"0,50","0,26","0,79",3,"0,26","1,00"
[download]Manutencao_Novembro,2021-11-21,Vitória de Santo Antão,App,BRL,0,2,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Salto de Pirapora,App,BRL,2,30,"0,07","0,98","1,95",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Salto de Pirapora,App,BRL,1,20,"0,05","0,06","0,06",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Cajazeiras,App,BRL,2,24,"0,08","0,91","1,81",2,"0,91","1,00"
[download]Manutencao_Novembro,2021-11-20,Taquaritinga,App,BRL,3,21,"0,14","0,55","1,64",1,"1,64","0,33"
[download]Toritama/PE-Novembro,2021-11-21,Toritama,App,BRL,28,604,"0,05","0,72","20,05",7,"2,86","0,25"
[download]Toritama/PE-Novembro,2021-11-13,Toritama,App,BRL,60,1748,"0,03","0,59","35,45",14,"2,53","0,23"
[download]Manutencao_Novembro,2021-11-12,Carpina,App,BRL,1,21,"0,05","0,18","0,18",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Itanhaém,App,BRL,1,87,"0,01","0,23","0,23",0,0,"0,00"
[download]Toritama/PE-Novembro,2021-11-20,Toritama,App,BRL,46,730,"0,06","0,63","28,98",11,"2,63","0,24"
[download]Manutencao_Novembro,2021-11-29,Taquaritinga,App,BRL,0,30,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Carpina,App,BRL,1,15,"0,07","0,11","0,11",1,"0,11","1,00"
[download]Manutencao_Novembro,2021-11-12,Cambé,App,BRL,1,59,"0,02","2,11","2,11",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Petrolina,App,BRL,1,232,"0,00","0,53","0,53",1,"0,53","1,00"
[download]Manutencao_Novembro,2021-11-27,Picos,App,BRL,1,65,"0,02","0,3","0,3",1,"0,3","1,00"
[download]Manutencao_Novembro,2021-11-19,Itabaianinha,App,BRL,3,21,"0,14","0,67",2,2,1,"0,67"
[download]Manutencao_Novembro,2021-11-20,Juazeiro,App,BRL,0,96,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Bezerros,App,BRL,1,37,"0,03","0,33","0,33",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Araras,App,BRL,4,109,"0,04","0,34","1,35",3,"0,45","0,75"
[download]Manutencao_Novembro,2021-11-19,Valença,App,BRL,3,43,"0,07","0,18","0,54",1,"0,54","0,33"
[download]Manutencao_Novembro,2021-11-23,Tucuruí,App,BRL,0,48,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Ipirá,App,BRL,5,23,"0,22","0,36","1,78",3,"0,59","0,60"
[download]Manutencao_Novembro,2021-11-20,Valença,App,BRL,4,29,"0,14","0,3","1,19",2,"0,6","0,50"
[download]Manutencao_Novembro,2021-11-25,Patos,App,BRL,9,127,"0,07","0,26","2,33",6,"0,39","0,67"
[download]Manutencao_Novembro,2021-11-29,Valença,App,BRL,0,50,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Lorena,App,BRL,2,116,"0,02","0,19","0,39",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Moreno,App,BRL,0,24,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Gravatá,App,BRL,2,42,"0,05","0,31","0,63",1,"0,63","0,50"
[download]Manutencao_Novembro,2021-11-22,Leme,App,BRL,1,82,"0,01","0,26","0,26",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Serrinha,App,BRL,11,62,"0,18","0,39","4,29",9,"0,48","0,82"
[download]BELO JARDIM/PE-Novembro,2021-11-20,Belo Jardim,App,BRL,32,506,"0,06","0,76","24,26",9,"2,7","0,28"
[download]BELO JARDIM/PE-Novembro,2021-11-12,Belo Jardim,App,BRL,28,439,"0,06","0,81","22,75",13,"1,75","0,46"
[download]Abreu e Lima/PE-Novembro,2021-11-16,Abreu e Lima,App,BRL,30,955,"0,03","0,67","19,99",14,"1,43","0,47"
[download]Manutencao_Novembro,2021-11-29,Espírito Santo do Pinhal,App,BRL,0,20,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Vinhedo,App,BRL,0,50,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Santa Rita,App,BRL,2,62,"0,03","2,17","4,34",1,"4,34","0,50"
[download]Manutencao_Novembro,2021-11-24,Feira de Santana,App,BRL,3,417,"0,01","0,36","1,07",1,"1,07","0,33"
[download]Manutencao_Novembro,2021-11-30,Brumado,App,BRL,1,23,"0,04","0,34","0,34",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Embu das Artes,App,BRL,0,31,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Itapevi,App,BRL,1,109,"0,01","0,07","0,07",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Embu das Artes,App,BRL,1,69,"0,01","2,4","2,4",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Pirassununga,App,BRL,0,30,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Paulo Afonso,App,BRL,4,31,"0,13","0,84","3,37",4,"0,84","1,00"
[download]Manutencao_Novembro,2021-11-17,Pesqueira,App,BRL,0,9,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Garanhuns,App,BRL,1,191,"0,01","0,03","0,03",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Aracaju,App,BRL,6,227,"0,03","0,42","2,54",2,"1,27","0,33"
[download]Manutencao_Novembro,2021-11-16,Valença,App,BRL,0,22,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Guaratinguetá,App,BRL,0,167,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Aracaju,App,BRL,6,245,"0,02","0,39","2,34",3,"0,78","0,50"
[download]Manutencao_Novembro,2021-11-15,Caicó,App,BRL,3,16,"0,19","0,59","1,76",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Eunápolis,App,BRL,9,115,"0,08","0,18","1,62",1,"1,62","0,11"
[download]Manutencao_Novembro,2021-11-27,Jandira,App,BRL,1,49,"0,02","0,1","0,1",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Moreno,App,BRL,0,26,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Senhor do Bonfim,App,BRL,0,21,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Atalaia,App,BRL,0,2,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Cabedelo,App,BRL,1,24,"0,04","0,33","0,33",1,"0,33","1,00"
[download]Manutencao_Novembro,2021-11-12,Itabaiana,App,BRL,0,14,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Itapevi,App,BRL,2,28,"0,07","0,28","0,56",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,São Miguel dos Campos,App,BRL,3,20,"0,15","0,2","0,6",1,"0,6","0,33"
[download]Manutencao_Novembro,2021-11-29,São Miguel dos Campos,App,BRL,0,38,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Jacobina,App,BRL,2,37,"0,05","0,63","1,26",1,"1,26","0,50"
[download]Manutencao_Novembro,2021-11-23,Simões Filho,App,BRL,12,153,"0,08","0,36","4,35",6,"0,73","0,50"
[download]Manutencao_Novembro,2021-11-18,Itaberaba,App,BRL,8,29,"0,28","0,47","3,74",7,"0,53","0,88"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-17,Vitória de Santo Antão,App,BRL,39,922,"0,04","0,58","22,58",11,"2,05","0,28"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-27,Vitória de Santo Antão,App,BRL,24,545,"0,04","0,84","20,13",12,"1,68","0,50"
[download]Manutencao_Novembro,2021-11-14,Palmeira dos Índios,App,BRL,1,8,"0,13","0,44","0,44",1,"0,44","1,00"
[download]Manutencao_Novembro,2021-11-18,Arcoverde,App,BRL,4,33,"0,12","0,17","0,69",3,"0,23","0,75"
[download]Manutencao_Novembro,2021-11-14,Jandira,App,BRL,5,92,"0,05","0,34","1,69",1,"1,69","0,20"
[download]Manutencao_Novembro,2021-11-21,Salgueiro,App,BRL,2,10,"0,20","0,19","0,38",1,"0,38","0,50"
[download]Manutencao_Novembro,2021-11-30,Simão Dias,App,BRL,6,17,"0,35","0,3","1,82",3,"0,61","0,50"
[download]Manutencao_Novembro,2021-11-14,Estância,App,BRL,1,12,"0,08","0,03","0,03",1,"0,03","1,00"
[download]Manutencao_Novembro,2021-11-28,Currais Novos,App,BRL,1,44,"0,02","0,12","0,12",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Currais Novos,App,BRL,0,71,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Estância,App,BRL,10,74,"0,14","0,35","3,54",7,"0,51","0,70"
[download]Manutencao_Novembro,2021-11-21,Nossa Senhora do Socorro,App,BRL,2,156,"0,01","0,11","0,22",1,"0,22","0,50"
[download]Manutencao_Novembro,2021-11-18,Farroupilha,App,BRL,0,23,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Itabaiana,App,BRL,7,22,"0,32","0,62","4,33",4,"1,08","0,57"
[download]Manutencao_Novembro,2021-11-17,Itapevi,App,BRL,0,99,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Rolândia,App,BRL,2,43,"0,05","0,57","1,14",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Jacobina,App,BRL,2,43,"0,05","0,23","0,46",1,"0,46","0,50"
[download]Manutencao_Novembro,2021-11-30,Abreu e Lima,App,BRL,0,25,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Pirassununga,App,BRL,0,36,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Cruz das Almas,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Candeias,App,BRL,5,33,"0,15","0,81","4,03",5,"0,81","1,00"
[download]Manutencao_Novembro,2021-11-29,Candeias,App,BRL,3,73,"0,04","0,4","1,21",2,"0,6","0,67"
[download]Manutencao_Novembro,2021-11-18,Salgueiro,App,BRL,4,26,"0,15","0,47","1,86",3,"0,62","0,75"
[download]Manutencao_Novembro,2021-11-21,Rio Largo,App,BRL,2,79,"0,03","0,11","0,22",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Cajazeiras,App,BRL,1,25,"0,04","0,75","0,75",1,"0,75","1,00"
[download]Toritama/PE-Novembro,2021-11-14,Toritama,App,BRL,92,1971,"0,05","0,55","50,91",21,"2,42","0,23"
[download]Toritama/PE-Novembro,2021-11-16,Toritama,App,BRL,92,1915,"0,05","0,64","58,73",19,"3,09","0,21"
