Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,95,137,0.45,0.45,1.442105263,1,1,1.052631579,0.729927007,,,11,7,,0.06447442,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Piauí,active,adset,Traffic||Branding geral||Dezembro,,,34,43,0.06,,1.264705882,,0,0,,,,8,4,,0.01504403,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,,,21,27,0.07,,1.285714286,,0,0,,,,1,1,,0.07020548,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Goiás,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,14,15,0.05,0.05,1.071428571,1,2,7.142857143,6.666666667,,,1,1,,0.05014677,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Maranhão,active,adset,Traffic||Branding geral||Dezembro,,,10,11,0.04,,1.1,,0,0,,,,3,1,,0.04011742,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,2,3,0.02,,1.5,,0,0,,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Pará,active,adset,Traffic||Branding geral||Dezembro,,,3,3,0.02,,1,,0,0,,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Federal District,active,adset,Traffic||Branding geral||Dezembro,,,1,1,0.00,,1,,0,0,,,,,,,,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-28,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,7,789,1060,3.59,0.51,1.34347275,7,7,0.887198986,0.660377358,,,93,54,,0.0664909,2021-12-28,2021-12-28
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Paraná,active,adset,Traffic||Branding geral||Dezembro,,,4,6,0.02,,1.5,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Pará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,6,11,0.03,0.03,1.833333333,1,1,16.66666667,9.090909091,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Maranhão,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,42,82,0.20,0.20,1.952380952,1,1,2.380952381,1.219512195,,,9,6,,0.03333333,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,47,12840,17304,46.51,0.99,1.347663551,44,72,0.342679128,0.2716135,,,4858,1944,,0.0239249,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,0,2,0.00,,0,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Minas Gerais,active,adset,Traffic||Branding geral||Dezembro,,,0,1,0.00,,0,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,,,50,95,0.18,,1.9,,0,0,,,,11,7,,0.02571429,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Sergipe,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,40,7536,9421,22.98,0.57,1.250132696,37,51,0.490976645,0.424583378,,,4805,1508,,0.01523873,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Goiás,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,60,83,0.27,0.27,1.383333333,1,1,1.666666667,1.204819277,,,3,3,,0.09,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,10,1020,1921,5.67,0.57,1.883333333,10,16,0.980392157,0.520562207,,,375,152,,0.03730263,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Piauí,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,120,175,0.45,0.45,1.458333333,1,1,0.833333333,0.571428571,,,29,8,,0.05625,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Pará,active,adset,Traffic||Branding geral||Dezembro,,,16,52,0.26,,3.25,,0,0,,,,2,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,40,7064,9168,25.00,0.63,1.297848245,38,48,0.537938845,0.436300175,,,1794,796,,0.03140704,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,25,4960,6324,15.06,0.60,1.275,23,36,0.463709677,0.395319418,,,2224,800,,0.018825,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Alagoas,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,11,2384,3036,7.81,0.71,1.273489933,10,15,0.419463087,0.362318841,,,783,320,,0.02440625,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,6,1336,1817,4.19,0.70,1.36002994,5,6,0.374251497,0.33021464,,,555,232,,0.01806034,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,São Paulo (state),active,adset,Traffic||Branding geral||Dezembro,Cliques no link,6,1096,1575,4.68,0.78,1.437043796,6,8,0.547445255,0.380952381,,,137,96,,0.04875,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Piauí,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,752,786,1.84,0.61,1.045212766,3,5,0.39893617,0.381679389,,,151,68,,0.02705882,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,440,543,0.90,0.90,1.234090909,1,1,0.227272727,0.184162063,,,114,56,,0.01607143,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,5,306,532,1.59,0.32,1.738562092,5,5,1.633986928,0.939849624,,,88,35,,0.04542857,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Goiás,active,adset,Traffic||Branding geral||Dezembro,,,208,211,0.70,,1.014423077,,1,0,,,,2,2,,0.35,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Maranhão,active,adset,Traffic||Branding geral||Dezembro,,,192,268,0.68,,1.395833333,,1,0,,,,101,28,,0.02428571,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,24,27,0.05,,1.125,,1,0,,,,1,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Sergipe,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1170,2215,7.05,0.39,1.893162393,17,19,1.452991453,0.812641084,,,577,222,,0.03175676,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Alagoas,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,7,372,670,1.58,0.23,1.801075269,7,9,1.88172043,1.044776119,,,111,43,,0.03674419,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Paraná,active,adset,Traffic||Branding geral||Dezembro,,,8,9,0.04,,1.125,,0,0,,,,3,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,São Paulo (state),active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,606,1024,3.67,1.22,1.689768977,3,3,0.495049505,0.29296875,,,58,33,,0.11121212,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,22,1586,2736,8.11,0.37,1.725094578,22,23,1.387137453,0.804093567,,,317,145,,0.05593103,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-27,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,31,2830,5174,16.14,0.52,1.828268551,30,33,1.060070671,0.599149594,,,762,322,,0.05012422,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Unknown,active,adset,Traffic||Branding geral||Dezembro,,,0,0,0.00,,0,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-27,Minas Gerais,active,adset,Traffic||Branding geral||Dezembro,,,0,4,0.01,,0,,0,0,,,,,,,,2021-12-27,2021-12-27
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,São Paulo (state),active,adset,Traffic||Branding geral||Dezembro,Cliques no link,4,1312,1692,4.75,1.19,1.289634146,4,9,0.304878049,0.236406619,,,212,144,,0.03298611,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Paraná,active,adset,Traffic||Branding geral||Dezembro,,,8,9,0.04,,1.125,,0,0,,,,1,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,32,34,0.09,,1.0625,,0,0,,,,3,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Pará,active,adset,Traffic||Branding geral||Dezembro,,,24,59,0.13,,2.458333333,,0,0,,,,16,8,,0.01625,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Goiás,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,208,253,0.73,0.37,1.216346154,2,2,0.961538462,0.790513834,,,23,8,,0.09125,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Maranhão,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,176,285,0.85,0.85,1.619318182,1,2,0.568181818,0.350877193,,,93,24,,0.03541667,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,416,640,1.33,0.67,1.538461538,2,2,0.480769231,0.3125,,,358,144,,0.00923611,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Piauí,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,760,855,1.88,0.94,1.125,2,3,0.263157895,0.233918129,,,316,160,,0.01175,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Federal District,active,adset,Traffic||Branding geral||Dezembro,,,0,1,0.00,,0,,0,0,,,,1,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,23,1792,2260,5.87,0.26,1.261160714,19,28,1.060267857,1.017699115,,,1003,440,,0.01334091,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Rio Grande do Norte,active,adset,Traffic||Branding geral||Dezembro,,,84,119,0.17,,1.416666667,,0,0,,,,52,15,,0.01133333,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Sergipe,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,21,1276,2356,8.02,0.38,1.846394984,20,21,1.567398119,0.891341256,,,1295,369,,0.02173442,2021-12-26,2021-12-26
