Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Minas Gerais,active,adset,0,0,1,1,0.01,0,1,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Bahia,active,adset,Cliques no link,3,1044,1114,5.14,1.71,1.067.049.808,3,5,0.287356322,0.26929982,0,0,158,100,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Sergipe,active,adset,Cliques no link,2,464,480,2.04,1.02,1.034.482.759,2,2,0.431034483,0.416666667,0,0,190,110,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Paraíba,active,adset,0,0,368,391,1.61,0,10.625,0,0,0,0,0,0,85,52,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,São Paulo (state),active,adset,Cliques no link,1,221,243,1.26,1.26,1.099.547.511,1,2,0.452488688,0.411522634,0,0,21,16,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Alagoas,active,adset,0,0,182,189,0.96,0,1.038.461.538,0,0,0,0,0,0,36,26,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Ceará,active,adset,0,0,100,107,0.41,0,1.07,0,0,0,0,0,0,14,12,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Piauí,active,adset,0,0,49,49,0.17,0,1,0,0,0,0,0,0,16,8,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Goiás,active,adset,0,0,17,17,0.11,0,1,0,0,0,0,0,0,7,1,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Rio Grande do Norte,active,adset,0,0,16,16,0.07,0,1,0,0,0,0,0,0,3,2,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Maranhão,active,adset,0,0,9,9,0.01,0,1,0,0,0,0,0,0,3,2,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Rio Grande do Sul,active,adset,0,0,1,1,0.01,0,1,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Unknown,active,adset,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Unknown,active,adset,0,0,1,1,0.01,0,1,0,0,0,0,0,0,1,1,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Paraná,active,adset,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Rio Grande do Sul,active,adset,0,0,3,3,0.01,0,1,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Pará,active,adset,0,0,4,6,0.01,0,1.5,0,0,0,0,0,0,0,0,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Maranhão,active,adset,0,0,20,22,0.07,0,1.1,0,0,0,0,0,0,1,1,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Goiás,active,adset,0,0,28,31,0.21,0,1.107.142.857,0,0,0,0,0,0,2,2,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Rio Grande do Norte,active,adset,Cliques no link,1,46,48,0.13,0.13,1.043.478.261,1,2,2.173.913.043,2.083.333.333,0,0,6,5,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Piauí,active,adset,0,0,74,80,0.31,0,1.081.081.081,0,0,0,0,0,0,6,4,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Ceará,active,adset,Cliques no link,1,187,203,0.79,0.79,1.085.561.497,1,2,0.534759358,0.492610837,0,0,15,13,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Alagoas,active,adset,0,0,244,266,1.31,0,1.090.163.934,0,0,0,0,0,0,43,25,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,São Paulo (state),active,adset,Cliques no link,2,268,312,1.7,0.85,1.164.179.104,2,2,0.746268657,0.641025641,0,0,20,15,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Paraíba,active,adset,Cliques no link,4,696,753,2.77,0.69,1.081.896.552,4,6,0.574712644,0.531208499,0,0,176,93,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Sergipe,active,adset,Cliques no link,2,776,830,3.67,1.84,1.069.587.629,2,2,0.257731959,0.240963855,0,0,251,146,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Pernambuco,active,adset,Cliques no link,5,902,1001,4.91,0.98,1.109.756.098,5,7,0.554323725,0.4995005,0,0,101,60,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,18/11/2021,Bahia,active,adset,Cliques no link,6,1671,1807,8.82,1.47,108.138.839,6,9,0.359066427,0.332042059,0,0,151,96,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,18/11/2021,Pernambuco,active,adset,Cliques no link,3,600,630,3.15,1.05,1.05,3,4,0.5,0.476190476,0,0,96,66,0,18/11/2021,18/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Pernambuco,active,adset,Cliques no link,27,3616,4523,21.87,0.81,1.250.829.646,24,34,0.663716814,0.596948928,0,0,769,384,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Bahia,active,adset,Cliques no link,44,7044,8227,37.2,0.85,116.794.435,42,71,0.596252129,0.534824359,0,0,1951,846,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,17/11/2021,Paraná,active,adset,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Paraíba,active,adset,Cliques no link,6,2412,3082,12.68,2.11,1.277.777.778,6,11,0.248756219,0.19467878,0,0,914,362,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Alagoas,active,adset,Cliques no link,4,1216,1401,6.43,1.61,1.152.138.158,4,7,0.328947368,0.28551035,0,0,267,148,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Ceará,active,adset,0,0,680,872,3.85,0,1.282.352.941,0,1,0,0,0,0,197,84,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Piauí,active,adset,0,0,304,345,1.39,0,1.134.868.421,0,0,0,0,0,0,98,36,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Rio Grande do Norte,active,adset,0,0,176,221,0.95,0,1.255.681.818,0,2,0,0,0,0,54,34,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Goiás,active,adset,Cliques no link,2,128,145,0.82,0.41,11.328.125,2,3,15.625,1.379.310.345,0,0,44,24,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Maranhão,active,adset,0,0,60,92,0.45,0,1.533.333.333,0,0,0,0,0,0,33,10,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Unknown,active,adset,0,0,24,24,0.18,0,1,0,0,0,0,0,0,3,2,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Rio Grande do Sul,active,adset,0,0,18,18,0.13,0,1,0,0,0,0,0,0,0,0,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Pará,active,adset,0,0,4,5,0.03,0,1.25,0,0,0,0,0,0,0,0,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Paraná,active,adset,0,0,3,3,0.02,0,1,0,0,0,0,0,0,0,0,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Minas Gerais,active,adset,0,0,3,3,0.01,0,1,0,0,0,0,0,0,0,0,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,17/11/2021,Bahia,active,adset,Cliques no link,36,7200,8362,36.74,1.02,1.161.388.889,35,51,0.486111111,0.430519015,0,0,2034,874,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,17/11/2021,Minas Gerais,active,adset,0,0,3,3,0.02,0,1,0,0,0,0,0,0,2,2,0,17/11/2021,17/11/2021
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,17/11/2021,Sergipe,active,adset,Cliques no link,13,2620,3253,13.81,1.06,1.241.603.053,13,19,0.496183206,0.39963111,0,0,1346,566,0,17/11/2021,17/11/2021
