Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Piauí,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,3,317,317,1.31,0.44,1,3,3,0.94637224,0.94637224,0,0,73,32,0.01,0.04093344,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Bahia,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,34,6095,7541,33.11,0.97,1.237243642,33,47,0.5414274,0.450868585,0,0,1735,784,0.01,0.04222796,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Produtos||All_cities||traffic,2021-11-30,Bahia,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,24,6704,8320,35.62,1.48,1.241050119,24,40,0.357995227,0.288461538,0,0,2002,948,0.01,0.03757384,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Minas Gerais,recently_completed,adset,Traffic||Branding geral||Novembro,0,0,1,1,0.00,0.00,1,0,0,0,0,0,0,0,0,0.01,0,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Rio Grande do Sul,recently_completed,adset,Traffic||Branding geral||Novembro,0,0,24,30,0.12,0.00,1.25,0,0,0,0,0,0,0,0,0.01,0,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Pará,recently_completed,adset,Traffic||Branding geral||Novembro,0,0,32,45,0.21,0.00,1.40625,0,0,0,0,0,0,1,0,0.01,0,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Maranhão,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,1,68,105,0.36,0.36,1.544117647,1,1,1.470588235,0.952380952,0,0,11,6,0.01,0.05999405,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Goiás,recently_completed,adset,Traffic||Branding geral||Novembro,0,0,124,162,0.79,0.00,1.306451613,0,0,0,0,0,0,16,10,0.01,0.07899217,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Rio Grande do Norte,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,1,196,201,0.79,0.79,1.025510204,1,1,0.510204082,0.497512438,0,0,73,38,0.01,0.02078741,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Ceará,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,2,572,689,2.71,1.35,1.204545455,2,2,0.34965035,0.290275762,0,0,186,70,0.01,0.03871045,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,Alagoas,recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,8,1100,1272,6.16,0.77,1.156363636,8,8,0.727272727,0.628930818,0,0,277,112,0.01,0.05499455,2021-11-30,2021-11-30,0
Traffic||Branding geral||Novembro,QD_Vantagens ||All_cities||traffic,2021-11-30,São Paulo (state),recently_completed,adset,Traffic||Branding geral||Novembro,Cliques no link,9,1440,2041,9.72,1.08,1.417361111,9,15,0.625,0.440960314,0,0,218,114,0.01,0.08525471,2021-11-30,2021-11-30,0
